author,title,pages,year,booktitle,ee,crossref,url,genre
"['Robin David', 'Sébastien Bardin', 'Thanh Dinh Ta', 'Laurent Mounier', 'Josselin Feist', 'Marie-Laure Potet', 'Jean-Yves Marion']",BINSEC/SE: A Dynamic Symbolic Execution Toolkit for Binary-Level Analysis.,['653-656'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.43', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.43']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#DavidBTMFPM16'],inproceedings
"['Leonardo Humberto Silva', 'Miguel Ramos 0001', 'Marco Tulio Valente', 'Alexandre Bergel', 'Nicolas Anquetil']",Does JavaScript software embrace classes?,['73-82'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081817', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081817']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#SilvaRVBA15'],inproceedings
"['Yu Zhang', 'Xi Deng', 'Jun Yan 0009', 'Hang Su', 'Hongyu Gao']",Testing the Message Flow of Android Auto Apps.,['559-563'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667973'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#ZhangDYSG19'],inproceedings
"['Xuliang Liu', 'Hao Zhong']",Mining stackoverflow for program repair.,['118-129'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330202', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330202']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#LiuZ18'],inproceedings
"['Alexandru Stefanica', 'Petru Florin Mihancea']",XCORE: Support for developing program analysis tools.,['462-466'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884654', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884654']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#StefanicaM17'],inproceedings
"['Nicolas Palix', 'Jean-Rémy Falleri', 'Julia Lawall']",Improving pattern tracking with a language-aware tree differencing algorithm.,['43-52'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081814', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081814']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#PalixFL15'],inproceedings
"['Manishankar Mondal', 'Banani Roy', 'Chanchal K. Roy', 'Kevin A. Schneider']",Associating Code Clones with Association Rules for Change Impact Analysis.,['93-103'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054846'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#MondalRRS20'],inproceedings
"['Mingzhe Hu', 'Yu Zhang 0086']","The Python/C API: Evolution, Usage Statistics, and Bug Patterns.",['532-536'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054835'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#HuZ20'],inproceedings
['Zhi Jin'],Forward and backward traceability: Requirements and challenges (Keynote).,['3'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8668021'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#Jin19'],inproceedings
"['Georgios Digkas', 'Mircea Lungu', 'Paris Avgeriou', 'Alexander Chatzigeorgiou', 'Apostolos Ampatzoglou']",How do developers fix issues and pay back technical debt in the Apache ecosystem?,['153-163'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330205', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330205']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#DigkasLACA18'],inproceedings
